Date,close,high,low,open,volume,rsi,20dma,50dma
2024-09-06,1854.34814453125,1888.1327275977371,1849.473027754597,1873.994888945443,5848106,56.8819711139092,1835.7471740722656,1750.4019262695313
2024-09-09,1847.3280029296875,1872.8735669396758,1841.8190972305667,1842.7941205747861,4772612,55.27297905273316,1841.7874450683594,1756.6674267578126
2024-09-10,1864.5372314453125,1886.670214257235,1848.644302962128,1857.3220347286262,6909600,58.380914631798696,1847.3889526367188,1763.4058154296874
2024-09-11,1862.4407958984375,1877.894891528596,1857.4194020571003,1866.877080537755,5312946,57.85351889856163,1852.8832092285156,1769.6332861328126
2024-09-12,1901.7342529296875,1907.5357132980039,1863.074672166222,1876.9199561824864,8555092,64.35342311138689,1859.0843505859375,1776.05673828125
2024-09-13,1895.54296875,1909.6808080545816,1887.3040686258946,1901.7343435377243,3843127,62.71229121341352,1863.2355163574218,1782.2325366210937
2024-09-16,1901.5394287109375,1903.2457196993976,1884.7690734614962,1897.1518233120405,1570181,63.67842092418284,1867.4013061523438,1788.0748779296875
2024-09-17,1903.7818603515625,1909.534402810906,1893.6415938633418,1899.1017007350288,2793127,64.05351065971288,1871.3184631347656,1794.0244702148439
2024-09-18,1844.8905029296875,1890.3265684033404,1834.3115231145357,1890.3265684033404,6385468,49.57432069932263,1872.2666809082032,1798.5193286132812
2024-09-19,1846.88916015625,1876.8224480606875,1831.873895960651,1862.8795667117413,7976570,49.98751205277992,1872.9467529296876,1803.1419116210936
2024-09-20,1858.15087890625,1867.1698455230062,1820.7587546291713,1857.4196113427292,15242974,52.35645487834274,1875.0747497558593,1808.1632836914061
2024-09-23,1849.0830078125,1870.9723537088278,1831.5325872912213,1861.3195986178432,3636672,50.290835431610034,1876.0643920898438,1812.9165234375
2024-09-24,1851.1793212890625,1863.172156185441,1824.6587335944862,1840.8440975119734,7277616,50.77434729756396,1875.9912658691405,1816.560185546875
2024-09-25,1847.9617919921875,1854.1043676482084,1829.9238601233028,1839.235261648182,4268341,49.97093383482865,1873.8559631347657,1820.2311474609376
2024-09-26,1852.7882080078125,1870.0460745062019,1845.7192883877328,1850.399448296488,8952803,51.21786501831324,1872.2423034667968,1823.6281274414061
2024-09-27,1859.1258544921875,1925.2811678990213,1855.7620713951017,1883.8426736989857,14908931,52.87869560280025,1870.4409545898438,1826.5278466796874
2024-09-30,1828.75390625,1853.7632808251788,1823.7813106027597,1833.044033110499,6986955,44.9760088449461,1866.1069763183593,1828.1395629882813
2024-10-01,1856.7857666015625,1861.2708503856265,1828.1688539454187,1828.1688539454187,4029072,52.092436968082,1864.308056640625,1829.9628588867188
2024-10-03,1846.1092529296875,1864.0983863063177,1834.0189394659815,1842.3066380228454,7503887,49.46822719641991,1862.8918395996093,1831.0646362304688
2024-10-04,1870.2410888671875,1905.2931311832979,1838.8940639202572,1842.355444469921,10001483,54.987734724317825,1862.1605712890625,1832.7065747070312
2024-10-07,1885.9876708984375,1893.4953029152355,1868.1934951630085,1875.164816740863,6112575,58.19643899859723,1863.7425476074218,1834.8409008789063
2024-10-08,1899.8818359375,1909.0469604018253,1858.7357782951613,1889.4978132388082,5637391,60.84846886611905,1866.3702392578125,1836.1991088867187
2024-10-09,1903.976806640625,1927.6211223804971,1896.5178543658283,1903.7818495832903,4857163,61.62125431924787,1868.342218017578,1837.7913208007812
2024-10-10,1871.0699462890625,1914.9460002666592,1866.2923077183304,1908.9983811984232,4782119,52.630997096445164,1868.7736755371093,1838.6074169921876
2024-10-11,1886.7677001953125,1898.3705021069761,1862.3921159361064,1870.094824366297,4709431,55.93380196984154,1868.0253479003907,1839.9110229492187
2024-10-14,1909.9732666015625,1920.3084903207136,1882.8675698277727,1883.8913919551653,3751378,60.336501361906556,1868.7468627929688,1841.9839233398438
2024-10-15,1910.3634033203125,1941.71031054596,1903.001929010567,1911.0458720946388,5353705,60.40812047001855,1869.1880615234375,1844.6769409179688
2024-10-16,1872.1424560546875,1910.6072016149433,1868.4861182079758,1906.170797419034,3111512,50.741578055413896,1867.6060913085937,1847.9569189453125
2024-10-17,1918.9434814453125,1928.596236666682,1881.9413919550382,1886.8651885882837,8162822,59.32469877336045,1871.308740234375,1852.1885205078124
2024-10-18,1832.6539306640625,1888.474019455993,1822.5624624334712,1846.4993341440768,10526196,44.075435526744336,1870.5969787597655,1853.903583984375
